0,"﻿Project Gutenberg's Frankenstein, by Mary Wollstonecraft (Godwin) Shelley
"
1,"St. Petersburgh, Dec. 11th, 17--
"
2,"through the seas which surround the pole.  You may remember that a
"
3,"done by paying the insurance for the owner, and to engage as many
"
4,"thought more and that my daydreams are more extended and magnificent,
"
5,"conceive a consolation for my toils which I may never know, that I am
"
6,"its homeward voyage from Archangel; more fortunate than I, who may not
"
8,"air he fainted.  We accordingly brought him back to the deck and
"
9,"with any degree of certainty, for the ice had not broken until near
"
10,"countenance.  At first I perceived that he tried to suppress his
"
11,"voice whose varied intonations are soul-subduing music.
"
12,"lineaments of his face are irradiated by the soul within.
"
13,"there was no other prospect of support.  But Caroline Beaufort
"
14,"deep consciousness of what they owed towards the being to which they
"
15,"when Providence afforded her such powerful protection.  They consulted
"
16,"Clerval was the son of a merchant of Geneva.  He was a boy of singular
"
17,"self.  Besides, in drawing the picture of my early days, I also record
"
18,"in their secondary and tertiary grades were utterly unknown to him.  I
"
19,"be known.  All that had so long engaged my attention suddenly grew
"
20,"were placed on the prospect of your union.  This expectation will now
"
21,"restrained but firm resolve not to be chained to the miserable details
"
22,"where no one was kind enough to inform you that these fancies which you
"
23,"the sweetest I had ever heard.  He began his lecture by a
"
24,"fail in ultimately turning to the solid advantage of mankind.""  I
"
25,"was rapid.  My ardour was indeed the astonishment of the students, and
"
26,"analysing all the minutiae of causation, as exemplified in the change
"
27,"imagination was too much exalted by my first success to permit me to
"
28,"dissecting room and the slaughter-house furnished many of my materials;
"
29,"enthusiasm was checked by my anxiety, and I appeared rather like one
"
30,"held the corpse of my dead mother in my arms; a shroud enveloped her
"
31,"  And turns no more his head;
"
32,"I trembled excessively; I could not endure to think of, and far less to
"
34,"own Elizabeth:
"
35,"distinction between the several classes of its inhabitants; and the
"
36,"""I must say also a few words to you, my dear cousin, of little darling
"
37,"had made in the sciences.  He soon perceived that I disliked the
"
38,"repaid my labours.  Their melancholy is soothing, and their joy
"
39,"in imitation of the Persian and Arabic writers, he invented tales of
"
40,"Elizabeth also suffered extreme anguish.  About five in the morning I
"
41,"room in the extremest agitation.  Tears also gushed from the eyes of
"
42,"these preliminary circumstances; but they were days of comparative
"
43,"he be (I shuddered at the conception) the murderer of my brother?  No
"
44,"told the servants not to disturb the family, and went into the library
"
45,"leaves no hope for doubt.  But she will be tried today, and you will
"
46,"cousin,"" said she, ""fills me with hope.  You perhaps will find some
"
47,"was tranquil, yet her tranquillity was evidently constrained; and as
"
48,"It was dawn, and she quitted her asylum, that she might again endeavour
"
49,"chief proof rests, if she had earnestly desired it, I should have
"
50,"Soon after we heard that the poor victim had expressed a desire to see
"
51,"No!  No!  I never could survive so horrible a misfortune.""
"
52,"appeals were lost upon them.  And when I received their cold answers
"
53,"My father observed with pain the alteration perceptible in my
"
54,"inflamed, and I ardently wished to extinguish that life which I had so
"
55,"the power of rendering you happy?  Ah!  While we love, while we are
"
56,"overhangs it.  Soon after, I entered the valley of Chamounix.  This
"
57,"last month.  I retired to rest at night; my slumbers, as it were,
"
58,"  We feel, conceive, or reason; laugh or weep,
"
59,"wretched; how, then, must I be hated, who am miserable beyond all
"
60,"my destruction.  Shall I not then hate them who abhor me?  I will keep
"
61,"his tale.
"
62,"drink and the trees that shaded me with their foliage.  I was delighted
"
63,"""Food, however, became scarce, and I often spent the whole day
"
64,"low that I could with difficulty sit upright in it.  No wood, however,
"
65,"filled up with wood. In one of these was a small and almost
"
66,"delighted to find that the setting of the sun did not put an end to the
"
67,"really express pain?  I was at first unable to solve these questions,
"
68,"youth 'Felix,' 'brother,' or 'son.'  I cannot describe the delight I
"
69,"overlook the deformity of my figure, for with this also the contrast
"
70,"afterwards their love.
"
71,"dark, but gentle, although animated; her features of a regular
"
